,state,funding_billions_dollars,pop_est_2020,electoral_vote_cnt,2020_elec_party_res,2020_swing_state,dollar_per_capita,dollar_per_electoral_vote
0,AL,3.0,5031362.0,9.0,Republican,,596.2600186589635,333333333.3333333
1,AK,3.7,732923.0,3.0,Republican,,5048.279287182964,1233333333.3333333
2,AS,0.0686,,,,,,
3,AZ,3.5,7179943.0,11.0,Democrat,Swing State,487.46905093814814,318181818.1818182
4,AR,2.8,3014195.0,6.0,Republican,,928.9379087948855,466666666.6666667
5,CA,18.4,39501653.0,54.0,Democrat,,465.80329182680026,340740740.7407407
6,CO,3.2,5784865.0,10.0,Democrat,,553.1676192962152,320000000.0
7,CT,2.5,3597362.0,7.0,Democrat,,694.9536910658421,357142857.14285713
8,DE,0.792,992114.0,3.0,Democrat,,798.2953571867749,264000000.0
9,DC,1.1,670868.0,3.0,Democrat,,1639.6668197022366,366666666.6666667
10,FL,8.2,21589602.0,30.0,Republican,Swing State,379.81246713116803,273333333.3333333
11,GA,5.0,10729828.0,16.0,Democrat,Swing State,465.99069435223004,312500000.0
12,GU,0.1426,,,,,,
13,HI,1.0,1451043.0,4.0,Democrat,,689.1594528900936,250000000.0
14,ID,1.2,1849202.0,4.0,Republican,,648.9285648620324,300000000.0
15,IL,8.4,12786580.0,19.0,Democrat,,656.9387592303806,442105263.15789473
16,IN,3.4,6788799.0,11.0,Republican,,500.8249618231443,309090909.09090906
17,IA,2.4,3190571.0,6.0,Republican,,752.216452791679,400000000.0
18,KS,1.5,2937919.0,6.0,Republican,,510.5654716825072,250000000.0
19,KY,3.9,4507445.0,8.0,Republican,,865.2351831248079,487500000.0
20,LA,4.3,4651664.0,8.0,Republican,,924.4003866143385,537500000.0
21,ME,1.1,1363557.0,4.0,Democrat,,806.7136173991993,275000000.0
22,MD,2.7,6173205.0,10.0,Democrat,,437.37410307935664,270000000.0
23,MA,3.6,6995729.0,11.0,Democrat,,514.5996936130603,327272727.27272725
24,MI,5.2,10069577.0,15.0,Democrat,Swing State,516.4069950505369,346666666.6666667
25,MN,2.7,5709852.0,10.0,Democrat,Swing State,472.86689742571264,270000000.0
26,MS,2.3,2958141.0,6.0,Republican,,777.5153381802963,383333333.3333333
27,MO,3.8,6153998.0,10.0,Republican,,617.4847635634591,380000000.0
28,MT,3.3,1087075.0,4.0,Republican,,3035.6691120667847,825000000.0
29,NE,1.3,1962642.0,5.0,Republican,,662.3724550886,260000000.0
30,NV,1.7,3115648.0,6.0,Democrat,Swing State,545.6328827903537,283333333.3333333
31,NH,0.7518,1378587.0,4.0,Democrat,,545.3409904489162,187950000.0
32,NJ,5.1,9271689.0,14.0,Democrat,,550.0615907198785,364285714.28571427
33,NM,2.6,2118390.0,5.0,Democrat,,1227.3471834742422,520000000.0
34,NY,10.1,20108296.0,28.0,Democrat,,502.28025288666925,360714285.71428573
35,NC,4.5,10449445.0,16.0,Republican,Swing State,430.64488113962034,281250000.0
36,ND,1.8,779518.0,3.0,Republican,,2309.119224956961,600000000.0
37,MP,0.0833,,,,,,
38,OH,6.6,11797517.0,17.0,Republican,Swing State,559.4397532972404,388235294.11764705
39,OK,2.9,3964912.0,7.0,Republican,,731.4159809852022,414285714.28571427
40,OR,2.3,4244795.0,8.0,Democrat,,541.840065303507,287500000.0
41,PA,8.1,12994440.0,19.0,Democrat,Swing State,623.3435223064633,426315789.4736842
42,PR,0.9937,3281557.0,,,,302.81357294723205,
43,RI,1.1,1096345.0,4.0,Democrat,,1003.3338045961809,275000000.0
44,SC,2.3,5131848.0,9.0,Republican,,448.1816296975281,255555555.55555555
45,SD,1.3,887799.0,3.0,Republican,,1464.2954092086159,433333333.3333333
46,TN,3.7,6925619.0,11.0,Republican,,534.2482744141715,336363636.3636364
47,TX,14.2,29232474.0,40.0,Republican,,485.76114358298923,355000000.0
48,Tribal Communities,3.0,,,,,,
49,USVI,0.1483,,,,,,
50,UT,1.8,3283785.0,6.0,Republican,,548.1479451303907,300000000.0
51,VT,0.8521,642893.0,3.0,Democrat,,1325.4149601877762,284033333.3333333
52,VA,4.5,8636471.0,13.0,Democrat,,521.0461541525468,346153846.15384614
53,WA,4.0,7724031.0,12.0,Democrat,,517.8643120412127,333333333.3333333
54,WV,2.0,1791420.0,4.0,Republican,,1116.4327740005135,500000000.0
55,WI,2.8,5896271.0,10.0,Democrat,Swing State,474.8764091745444,280000000.0
56,WY,2.3,577605.0,3.0,Republican,,3981.9599899585355,766666666.6666666
